[DEBUG] 2021-10-04 16:42:30.537 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-10-04 16:42:30.542 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-10-04 16:42:30.545 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-10-04 16:42:30.587 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-10-04 16:42:30.588 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-10-04 16:42:30.714 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-10-04 16:42:30.714 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-10-04 16:42:30.717 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-10-04 16:42:30.890 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-10-04 16:42:30.905 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-10-04 16:42:30.906 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-10-04 16:42:30.921 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-10-04 16:42:30.945 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6e57b5e9
[DEBUG] 2021-10-04 16:42:30.946 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6e57b5e9
[DEBUG] 2021-10-04 16:42:30.946 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6e57b5e9
[DEBUG] 2021-10-04 16:42:30.946 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@77cb9cd1
[DEBUG] 2021-10-04 16:42:30.947 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3e4f80cb
[DEBUG] 2021-10-04 16:42:30.947 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@c6a6c1d
[DEBUG] 2021-10-04 16:42:30.948 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@359b650b
[DEBUG] 2021-10-04 16:42:30.948 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@359b650b
[DEBUG] 2021-10-04 16:42:30.948 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@359b650b
[DEBUG] 2021-10-04 16:42:30.948 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2c6ee758
[DEBUG] 2021-10-04 16:42:30.948 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2c6ee758
[DEBUG] 2021-10-04 16:42:30.948 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2c6ee758
[DEBUG] 2021-10-04 16:42:30.949 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@256aa5f2
[DEBUG] 2021-10-04 16:42:30.949 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@256aa5f2
[DEBUG] 2021-10-04 16:42:30.949 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@256aa5f2
[DEBUG] 2021-10-04 16:42:30.950 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7cb2651f
[DEBUG] 2021-10-04 16:42:30.950 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7cb2651f
[DEBUG] 2021-10-04 16:42:30.950 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7cb2651f
[DEBUG] 2021-10-04 16:42:30.951 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@610df783
[DEBUG] 2021-10-04 16:42:30.951 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@610df783
[DEBUG] 2021-10-04 16:42:30.951 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@610df783
[DEBUG] 2021-10-04 16:42:30.951 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@592238c5
[DEBUG] 2021-10-04 16:42:30.951 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@592238c5
[DEBUG] 2021-10-04 16:42:30.951 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@592238c5
[DEBUG] 2021-10-04 16:42:30.952 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@16073fa8
[DEBUG] 2021-10-04 16:42:30.952 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@16073fa8
[DEBUG] 2021-10-04 16:42:30.952 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@16073fa8
