[DEBUG] 2021-09-30 07:33:32.724 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-09-30 07:33:32.731 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-09-30 07:33:32.738 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-09-30 07:33:32.810 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-09-30 07:33:32.812 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-09-30 07:33:33.017 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-09-30 07:33:33.017 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-09-30 07:33:33.022 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-09-30 07:33:33.276 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-09-30 07:33:33.298 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-09-30 07:33:33.299 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-09-30 07:33:33.315 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-09-30 07:33:33.347 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@54562ea6
[DEBUG] 2021-09-30 07:33:33.347 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@54562ea6
[DEBUG] 2021-09-30 07:33:33.348 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@54562ea6
[DEBUG] 2021-09-30 07:33:33.348 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4a3be6a5
[DEBUG] 2021-09-30 07:33:33.348 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@63718b93
[DEBUG] 2021-09-30 07:33:33.349 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@60e21209
[DEBUG] 2021-09-30 07:33:33.350 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4c2869a9
[DEBUG] 2021-09-30 07:33:33.350 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4c2869a9
[DEBUG] 2021-09-30 07:33:33.350 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4c2869a9
[DEBUG] 2021-09-30 07:33:33.351 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@35835fa
[DEBUG] 2021-09-30 07:33:33.351 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@35835fa
