[DEBUG] 2021-10-06 15:54:50.989 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-10-06 15:54:50.992 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-10-06 15:54:50.995 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-10-06 15:54:51.035 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-10-06 15:54:51.036 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-10-06 15:54:51.149 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-10-06 15:54:51.149 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-10-06 15:54:51.152 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-10-06 15:54:51.310 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-10-06 15:54:51.324 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-10-06 15:54:51.324 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-10-06 15:54:51.336 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-10-06 15:54:51.359 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2822c6ff
[DEBUG] 2021-10-06 15:54:51.359 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2822c6ff
[DEBUG] 2021-10-06 15:54:51.359 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2822c6ff
[DEBUG] 2021-10-06 15:54:51.360 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7e9da981
[DEBUG] 2021-10-06 15:54:51.360 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@676ff3b0
[DEBUG] 2021-10-06 15:54:51.360 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5f80fa43
[DEBUG] 2021-10-06 15:54:51.361 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5a8ba37c
[DEBUG] 2021-10-06 15:54:51.361 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5a8ba37c
[DEBUG] 2021-10-06 15:54:51.361 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5a8ba37c
[DEBUG] 2021-10-06 15:54:51.362 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7e75bf2d
[DEBUG] 2021-10-06 15:54:51.362 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7e75bf2d
[DEBUG] 2021-10-06 15:54:51.362 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7e75bf2d
[DEBUG] 2021-10-06 15:54:51.363 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@9a2ec9b
