[DEBUG] 2021-09-30 07:34:41.476 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-09-30 07:34:41.481 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-09-30 07:34:41.485 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-09-30 07:34:41.534 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-09-30 07:34:41.536 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-09-30 07:34:41.699 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-09-30 07:34:41.699 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-09-30 07:34:41.703 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-09-30 07:34:41.892 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-09-30 07:34:41.907 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-09-30 07:34:41.909 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-09-30 07:34:41.920 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-09-30 07:34:41.944 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@562457e1
[DEBUG] 2021-09-30 07:34:41.944 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@562457e1
[DEBUG] 2021-09-30 07:34:41.944 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@562457e1
[DEBUG] 2021-09-30 07:34:41.944 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2f7dcef2
[DEBUG] 2021-09-30 07:34:41.945 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@766a4535
[DEBUG] 2021-09-30 07:34:41.945 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@f202d6d
[DEBUG] 2021-09-30 07:34:41.946 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2715644a
[DEBUG] 2021-09-30 07:34:41.946 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2715644a
[DEBUG] 2021-09-30 07:34:41.946 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2715644a
[DEBUG] 2021-09-30 07:34:41.946 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@b8a7e43
[DEBUG] 2021-09-30 07:34:41.947 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@b8a7e43
[DEBUG] 2021-09-30 07:34:41.947 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@b8a7e43
[DEBUG] 2021-09-30 07:34:41.947 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4a6c18ad
[DEBUG] 2021-09-30 07:34:41.947 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4a6c18ad
[DEBUG] 2021-09-30 07:34:41.947 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4a6c18ad
[DEBUG] 2021-09-30 07:34:41.948 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@66c83fc8
[DEBUG] 2021-09-30 07:34:41.948 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@66c83fc8
[DEBUG] 2021-09-30 07:34:41.948 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@66c83fc8
[DEBUG] 2021-09-30 07:34:41.949 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@40368a46
[DEBUG] 2021-09-30 07:34:41.949 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@40368a46
[DEBUG] 2021-09-30 07:34:41.949 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@40368a46
[DEBUG] 2021-09-30 07:34:41.949 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5fb7183b
[DEBUG] 2021-09-30 07:34:41.950 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5fb7183b
[DEBUG] 2021-09-30 07:34:41.950 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5fb7183b
[DEBUG] 2021-09-30 07:34:41.950 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6e106680
[DEBUG] 2021-09-30 07:34:41.950 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6e106680
[DEBUG] 2021-09-30 07:34:41.950 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6e106680
[DEBUG] 2021-09-30 07:34:41.951 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@352e787a
[DEBUG] 2021-09-30 07:34:41.951 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@352e787a
[DEBUG] 2021-09-30 07:34:41.951 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@73044cdf
[DEBUG] 2021-09-30 07:34:41.952 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@73044cdf
[DEBUG] 2021-09-30 07:34:41.953 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2f5c1332
[DEBUG] 2021-09-30 07:34:41.953 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2f5c1332
[DEBUG] 2021-09-30 07:34:41.954 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@258ee7de
[DEBUG] 2021-09-30 07:34:41.954 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@705f83a7
[DEBUG] 2021-09-30 07:34:41.955 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@2679311f
[DEBUG] 2021-09-30 07:34:41.955 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@2679311f
[DEBUG] 2021-09-30 07:34:41.956 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2e34384c
[DEBUG] 2021-09-30 07:34:41.956 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2e34384c
[DEBUG] 2021-09-30 07:34:41.964 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@1cb19dba
[DEBUG] 2021-09-30 07:34:41.964 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@1cb19dba
[DEBUG] 2021-09-30 07:34:41.965 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@4a5905d9
[DEBUG] 2021-09-30 07:34:41.965 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4a5905d9
[DEBUG] 2021-09-30 07:34:41.966 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@3daa82be
[DEBUG] 2021-09-30 07:34:41.966 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@3daa82be
[DEBUG] 2021-09-30 07:34:41.967 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6345e7b9
[DEBUG] 2021-09-30 07:34:41.967 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6345e7b9
[DEBUG] 2021-09-30 07:34:41.968 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4d48bd85
[DEBUG] 2021-09-30 07:34:41.968 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4d48bd85
[DEBUG] 2021-09-30 07:34:41.969 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@54aca26f
[DEBUG] 2021-09-30 07:34:41.969 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@54aca26f
[DEBUG] 2021-09-30 07:34:41.972 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1d96d872
[DEBUG] 2021-09-30 07:34:41.972 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1d96d872
[DEBUG] 2021-09-30 07:34:41.974 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@7772054c
[DEBUG] 2021-09-30 07:34:41.974 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@7772054c
